Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
Alfonso Espino,uy URU,DF,Cádiz,La Liga,29,1992,37,1124,1778,63.2,22133,10055,472,567,83.2,447,627,71.3,180,472,38.1,2,3.9,-1.9,40,90,35,22,100,Matches
Christian Eriksen,dk DEN,MF,Brentford,Premier League,29,1992,10.4,472,634,74.4,10893,3905,160,185,86.5,171,209,81.8,134,220,60.9,4,3.6,+0.4,32,75,18,8,65,Matches
Emil Forsberg,se SWE,"MF,FW",RB Leipzig,Bundesliga,29,1991,19,637,773,82.4,10150,2602,357,406,87.9,215,241,89.2,54,97,55.7,2,3.6,-1.6,24,56,32,2,87,Matches
Marvin Plattenhardt,de GER,DF,Hertha BSC,Bundesliga,29,1992,18.2,657,936,70.2,13040,6995,258,290,89,279,360,77.5,111,250,44.4,3,3.6,-0.6,42,29,14,7,46,Matches
Philippe Coutinho,br BRA,"MF,FW",Aston Villa,Premier League,29,1992,14.8,527,641,82.2,9021,2278,271,309,87.7,187,216,86.6,55,84,65.5,3,3.2,-0.2,25,68,13,3,60,Matches
Joshua King,no NOR,FW,Watford,Premier League,29,1992,25,387,524,73.9,5865,1126,210,261,80.5,146,200,73,19,28,67.9,3,3.2,-0.2,35,26,13,2,30,Matches
Riccardo Saponara,it ITA,FW,Fiorentina,Serie A,29,1991,14.3,428,552,77.5,8046,2252,178,211,84.4,191,232,82.3,53,70,75.7,3,3.2,-0.2,20,32,28,6,79,Matches
Florian Tardieu,fr FRA,MF,Troyes,Ligue 1,29,1992,29.2,1685,2040,82.6,34656,10430,658,720,91.4,706,796,88.7,291,471,61.8,2,3.2,-1.2,49,174,23,3,170,Matches
João Pedro,it ITA,FW,Cagliari,Serie A,29,1992,36.9,523,736,71.1,9681,1691,219,279,78.5,219,294,74.5,69,105,65.7,4,3.1,+0.9,27,23,23,3,54,Matches
Marcos Acuña,ar ARG,DF,Sevilla,La Liga,29,1991,25.1,1564,1971,79.4,32212,11965,591,635,93.1,682,803,84.9,275,474,58,3,3,0,41,103,42,23,123,Matches
Florent Mollet,fr FRA,"FW,MF",Montpellier,Ligue 1,29,1991,29.2,967,1195,80.9,15969,4115,510,560,91.1,318,377,84.4,98,180,54.4,2,3,-1,30,67,23,8,80,Matches
Davide Faraoni,it ITA,DF,Hellas Verona,Serie A,29,1991,28.6,959,1369,70.1,18304,9467,429,523,82,369,495,74.5,148,302,49,5,2.9,+2.1,21,82,60,22,142,Matches
Youcef Belaïli,dz ALG,"MF,FW",Brest,Ligue 1,29,1992,9.2,274,390,70.3,5458,1822,125,149,83.9,84,107,78.5,57,108,52.8,2,2.8,-0.8,20,33,16,1,34,Matches
Jorginho,it ITA,MF,Chelsea,Premier League,29,1991,25.3,1664,1856,89.7,29444,7066,731,790,92.5,762,823,92.6,144,201,71.6,2,2.8,-0.8,25,160,35,0,140,Matches
Willian José,br BRA,FW,Betis,La Liga,29,1991,17.8,413,531,77.8,6658,1173,220,258,85.3,126,160,78.8,39,66,59.1,4,2.8,+1.2,19,23,8,1,27,Matches
Pavel Kadeřábek,cz CZE,DF,Hoffenheim,Bundesliga,29,1992,13.3,507,681,74.4,9165,3582,224,270,83,219,284,77.1,57,93,61.3,2,2.8,-0.8,21,30,20,10,60,Matches
Oriol Romeu,es ESP,MF,Southampton,Premier League,29,1991,32.1,1396,1685,82.8,26627,6081,608,701,86.7,572,664,86.1,192,266,72.2,2,2.8,-0.8,35,125,25,2,125,Matches
Thomas Delaine,fr FRA,DF,Metz,Ligue 1,29,1992,25.7,867,1166,74.4,14664,6252,425,479,88.7,365,465,78.5,63,169,37.3,2,2.7,-0.7,29,48,24,16,89,Matches
Casemiro,br BRA,MF,Real Madrid,La Liga,29,1992,28.5,1714,1983,86.4,34844,9441,672,744,90.3,680,774,87.9,322,395,81.5,3,2.6,+0.4,24,181,20,2,144,Matches
Moanes Dabbur,il ISR,"FW,MF",Hoffenheim,Bundesliga,29,1992,14.6,361,482,74.9,5227,1365,205,257,79.8,117,143,81.8,19,35,54.3,4,2.6,+1.4,18,23,11,3,31,Matches
Jordan Ferri,fr FRA,MF,Montpellier,Ligue 1,29,1992,32.3,2100,2502,83.9,43598,14073,765,850,90,887,992,89.4,404,576,70.1,2,2.6,-0.6,29,215,28,5,211,Matches
Thomas Meunier,be BEL,DF,Dortmund,Bundesliga,29,1991,15.6,898,1152,78,16457,6541,381,431,88.4,412,512,80.5,91,168,54.2,4,2.6,+1.4,14,56,24,13,105,Matches
Manu Trigueros,es ESP,"MF,FW",Villarreal,La Liga,29,1991,24.2,987,1229,80.3,17713,5406,438,499,87.8,420,488,86.1,110,185,59.5,4,2.6,+1.4,22,128,31,3,139,Matches
Jodel Dossou,bj BEN,FW,Clermont Foot,Ligue 1,29,1992,22.3,414,573,72.3,6060,1741,244,293,83.3,132,180,73.3,24,45,53.3,1,2.5,-1.5,23,36,23,12,51,Matches
Adri Embarba,es ESP,"FW,MF",Espanyol,La Liga,29,1992,22.1,491,794,61.8,8450,2659,252,311,81,155,238,65.1,63,187,33.7,2,2.5,-0.5,36,23,23,12,36,Matches
David Alaba,at AUT,DF,Real Madrid,La Liga,29,1992,29.4,1804,1967,91.7,33608,10916,751,778,96.5,811,860,94.3,216,285,75.8,3,2.4,+0.6,22,132,18,5,102,Matches
Dani Carvajal,es ESP,DF,Real Madrid,La Liga,29,1992,17.2,1040,1205,86.3,18625,5014,476,521,91.4,411,467,88,134,176,76.1,3,2.4,+0.6,26,45,27,8,68,Matches
Roberto Firmino,br BRA,FW,Liverpool,Premier League,29,1991,11,393,501,78.4,5872,1288,223,252,88.5,129,170,75.9,21,29,72.4,4,2.4,+1.6,18,27,11,1,35,Matches
Xherdan Shaqiri,ch SUI,"FW,MF",Lyon,Ligue 1,29,1991,7.5,265,346,76.6,4762,1488,142,159,89.3,70,85,82.4,45,83,54.2,3,2.4,+0.6,16,23,18,2,39,Matches
Jordan Ayew,gh GHA,FW,Crystal Palace,Premier League,29,1991,22.4,570,745,76.5,8666,1732,326,368,88.6,197,245,80.4,33,79,41.8,3,2.3,+0.7,21,29,15,5,48,Matches
Kevin De Bruyne,be BEL,MF,Manchester City,Premier League,30,1991,24.5,1172,1553,75.5,22303,6186,520,600,86.7,464,582,79.7,166,311,53.4,8,9.5,-1.5,88,132,67,9,157,Matches
Andrej Kramarić,hr CRO,"FW,MF",Hoffenheim,Bundesliga,30,1991,30.1,819,1057,77.5,13079,2951,440,527,83.5,290,364,79.7,57,102,55.9,9,6.3,+2.7,38,57,41,10,79,Matches
Lorenzo Insigne,it ITA,FW,Napoli,Serie A,30,1991,25.4,1200,1506,79.7,22090,5654,583,650,89.7,433,506,85.6,161,290,55.5,8,5.7,+2.3,64,75,53,7,126,Matches
Darko Lazović,rs SRB,DF,Hellas Verona,Serie A,30,1990,30.7,1098,1543,71.2,19327,9552,482,603,79.9,503,657,76.6,98,202,48.5,7,5.7,+1.3,44,88,54,14,195,Matches
Luis Muriel,co COL,FW,Atalanta,Serie A,30,1991,17.1,561,769,73,9365,2686,279,341,81.8,171,239,71.5,70,122,57.4,8,5.5,+2.5,60,34,38,8,70,Matches
Pascal Groß,de GER,"MF,DF",Brighton,Premier League,30,1991,22.6,984,1315,74.8,19467,5768,410,468,87.6,395,475,83.2,167,319,52.4,4,5.3,-1.3,60,81,35,12,103,Matches
Sergio Canales,es ESP,"FW,MF",Betis,La Liga,30,1991,31,1551,1867,83.1,28685,6995,713,788,90.5,554,636,87.1,228,335,68.1,8,5.1,+2.9,62,148,62,5,182,Matches
Marcos Alonso,es ESP,DF,Chelsea,Premier League,30,1990,24.1,1132,1456,77.7,19695,6764,556,629,88.4,448,532,84.2,108,235,46,4,4.6,-0.6,44,68,33,15,107,Matches
Rodrigo,es ESP,"MF,FW",Leeds United,Premier League,30,1991,25.2,667,895,74.5,11252,2788,347,437,79.4,218,275,79.3,77,116,66.4,1,4.6,-3.6,40,67,34,10,76,Matches
Wissam Ben Yedder,fr FRA,FW,Monaco,Ligue 1,30,1990,28.1,493,677,72.8,7299,1306,282,354,79.7,159,217,73.3,36,60,60,5,4.3,+0.7,29,30,29,0,53,Matches
Duván Zapata,co COL,FW,Atalanta,Serie A,30,1991,19.1,425,557,76.3,6383,925,244,293,83.3,138,185,74.6,26,43,60.5,4,4.3,-0.3,38,19,21,4,28,Matches
İlkay Gündoğan,de GER,MF,Manchester City,Premier League,30,1990,20.6,1160,1325,87.5,20357,4001,586,622,94.2,410,454,90.3,140,196,71.4,4,4.2,-0.2,37,78,27,2,84,Matches
Roberto Soriano,it ITA,"MF,FW",Bologna,Serie A,30,1991,29.1,1031,1258,82,15865,5354,571,641,89.1,356,429,83,71,113,62.8,4,4.2,-0.2,45,103,43,11,129,Matches
Riyad Mahrez,dz ALG,FW,Manchester City,Premier League,30,1991,16.6,767,930,82.5,13516,2654,377,422,89.3,299,346,86.4,84,143,58.7,5,3.7,+1.3,41,20,39,6,61,Matches
Gaël Kakuta,cd COD,"MF,FW",Lens,Ligue 1,30,1991,18.6,527,725,72.7,8609,2305,297,363,81.8,173,229,75.5,45,95,47.4,2,3.5,-1.5,22,66,19,7,67,Matches
Antoine Griezmann,fr FRA,"FW,MF",Atlético Madrid,La Liga,30,1991,18.8,560,710,78.9,8706,1834,311,359,86.6,176,219,80.4,47,87,54,4,3.4,+0.6,26,34,12,1,44,Matches
Vladimír Darida,cz CZE,MF,Hertha BSC,Bundesliga,30,1990,19.8,689,957,72,13134,4043,290,343,84.5,289,359,80.5,95,199,47.7,5,3.3,+1.7,32,45,17,5,64,Matches
Mário Rui,pt POR,DF,Napoli,Serie A,30,1991,33.2,2071,2455,84.4,37733,12199,984,1073,91.7,800,898,89.1,258,409,63.1,5,3.3,+1.7,40,115,39,8,134,Matches
Kiko Femenía,es ESP,DF,Watford,Premier League,30,1991,23.8,856,1196,71.6,14470,6826,439,496,88.5,346,468,73.9,62,190,32.6,5,3.2,+1.8,24,51,17,9,79,Matches
Roberto Pereyra,ar ARG,"MF,FW",Udinese,Serie A,30,1991,19.9,719,840,85.6,11577,3123,368,404,91.1,277,319,86.8,53,75,70.7,5,3.2,+1.8,27,57,29,2,79,Matches
Wahbi Khazri,tn TUN,"FW,MF",Saint-Étienne,Ligue 1,30,1991,24.7,430,622,69.1,7787,2223,218,264,82.6,130,185,70.3,61,124,49.2,0,3.1,-3.1,32,47,25,4,58,Matches
Thomas Monconduit,fr FRA,MF,Lorient,Ligue 1,30,1991,25,1012,1289,78.5,21066,6428,376,457,82.3,427,510,83.7,187,277,67.5,2,3,-1,30,128,15,3,139,Matches
Florian Sotoca,fr FRA,"FW,MF",Lens,Ligue 1,30,1990,27.6,907,1194,76,17039,3597,414,527,78.6,327,412,79.4,138,190,72.6,4,3,+1.0,30,91,28,10,111,Matches
Xavier Chavalerin,fr FRA,"MF,FW",Troyes,Ligue 1,30,1991,30.2,795,1046,76,14166,4444,387,449,86.2,281,362,77.6,102,178,57.3,2,2.8,-0.8,23,68,22,5,73,Matches
Raúl Jiménez,mx MEX,FW,Wolves,Premier League,30,1991,29.2,557,779,71.5,8584,1779,334,430,77.7,156,205,76.1,45,78,57.7,4,2.7,+1.3,33,38,18,4,50,Matches
Lucas Vázquez,es ESP,DF,Real Madrid,La Liga,30,1991,20.4,1339,1551,86.3,23266,6753,646,696,92.8,545,613,88.9,127,203,62.6,0,2.7,-2.7,33,63,40,10,100,Matches
Eden Hazard,be BEL,"FW,MF",Real Madrid,La Liga,30,1991,8,366,411,89.1,5376,946,223,247,90.3,113,124,91.1,20,21,95.2,1,2.6,-1.6,28,16,12,0,21,Matches
Tristan Dingomé,cm CMR,"MF,FW",Troyes,Ligue 1,30,1991,12,403,536,75.2,7047,2147,204,248,82.3,129,170,75.9,52,90,57.8,4,2.5,+1.5,21,39,13,5,43,Matches
Sebastian Polter,de GER,FW,Bochum,Bundesliga,30,1991,26,293,518,56.6,4149,1130,164,265,61.9,95,164,57.9,15,37,40.5,1,2.5,-1.5,29,28,7,1,38,Matches
Stuart Dallas,nir NIR,"DF,MF",Leeds United,Premier League,30,1991,32.4,1312,1666,78.8,23028,8378,659,724,91,482,577,83.5,145,287,50.5,1,2.4,-1.4,34,113,29,5,128,Matches
Andros Townsend,eng ENG,MF,Everton,Premier League,30,1991,16.2,342,487,70.2,5948,2075,162,190,85.3,138,175,78.9,37,96,38.5,2,2.4,-0.4,30,18,28,13,46,Matches
Thiago Alcántara,es ESP,MF,Liverpool,Premier League,30,1991,17,1325,1479,89.6,28007,7322,455,492,92.5,611,657,93,248,300,82.7,4,2.3,+1.7,28,199,22,1,175,Matches
Genki Haraguchi,jp JPN,MF,Union Berlin,Bundesliga,30,1991,19.5,410,558,73.5,7185,1954,186,233,79.8,172,215,80,41,74,55.4,6,2.3,+3.7,24,41,10,3,58,Matches
N'Golo Kanté,fr FRA,MF,Chelsea,Premier League,30,1991,19.7,1117,1282,87.1,18459,4685,569,629,90.5,437,495,88.3,87,111,78.4,4,2.3,+1.7,23,101,30,0,117,Matches
Thomas Müller,de GER,MF,Bayern Munich,Bundesliga,31,1989,28.4,1131,1511,74.9,18045,4736,606,723,83.8,396,525,75.4,86,165,52.1,18,11.3,+6.7,72,75,66,23,140,Matches
Michail Antonio,jm JAM,FW,West Ham,Premier League,31,1990,33,466,708,65.8,7552,1461,256,333,76.9,145,213,68.1,45,84,53.6,8,6.6,+1.4,46,26,32,13,43,Matches
Fidel,es ESP,"MF,FW",Elche,La Liga,31,1989,25.1,813,1095,74.2,13673,5337,440,513,85.8,258,327,78.9,96,197,48.7,6,5.1,+0.9,40,85,21,9,112,Matches
Joselu,es ESP,FW,Alavés,La Liga,31,1990,34.7,687,1122,61.2,10410,2417,411,568,72.4,214,374,57.2,43,102,42.2,4,4,0,30,67,18,4,80,Matches
Jason Berthomier,fr FRA,MF,Clermont Foot,Ligue 1,31,1990,19.2,1140,1396,81.7,20187,5416,578,630,91.7,409,471,86.8,139,253,54.9,5,3.9,+1.1,46,98,22,8,101,Matches
Jonas Hector,de GER,DF,Köln,Bundesliga,31,1990,28.4,1246,1644,75.8,26021,9929,428,500,85.6,568,686,82.8,236,393,60.1,6,3.9,+2.1,37,73,30,16,117,Matches
Ryad Boudebouz,dz ALG,"MF,FW",Saint-Étienne,Ligue 1,31,1990,25,1222,1553,78.7,23834,5792,499,573,87.1,475,571,83.2,214,333,64.3,4,3.8,+0.2,50,110,30,4,124,Matches
Jordan Henderson,eng ENG,MF,Liverpool,Premier League,31,1990,28.9,1846,2202,83.8,35046,8229,760,839,90.6,811,930,87.2,243,348,69.8,5,3.8,+1.2,38,187,53,13,176,Matches
Josan,es ESP,"DF,MF",Elche,La Liga,31,1989,13.5,380,539,70.5,6616,2433,174,214,81.3,166,216,76.9,34,75,45.3,3,3.6,-0.6,21,12,22,12,35,Matches
Ashley Westwood,eng ENG,MF,Burnley,Premier League,31,1990,25.4,859,1226,70.1,17879,6040,326,372,87.6,346,446,77.6,172,366,47,3,3.6,-0.6,31,106,32,3,107,Matches
Toni Kroos,de GER,MF,Real Madrid,La Liga,31,1990,23.4,2076,2258,91.9,43854,12542,820,841,97.5,790,824,95.9,435,548,79.4,3,3.5,-0.5,50,269,41,5,208,Matches
Aaron Cresswell,eng ENG,DF,West Ham,Premier League,31,1989,30.3,1641,2047,80.2,29789,12432,733,791,92.7,711,807,88.1,179,382,46.9,3,3.2,-0.2,35,127,24,8,155,Matches
Milan Đurić,ba BIH,FW,Salernitana,Serie A,31,1990,24.1,427,682,62.6,5353,975,289,460,62.8,106,168,63.1,9,14,64.3,4,3.1,+0.9,32,18,4,0,30,Matches
Ciro Immobile,it ITA,FW,Lazio,Serie A,31,1990,30.1,694,886,78.3,10054,1197,423,501,84.4,179,230,77.8,55,74,74.3,2,3,-1,26,29,17,2,34,Matches
Teemu Pukki,fi FIN,FW,Norwich City,Premier League,31,1990,36.1,392,526,74.5,6053,849,222,276,80.4,130,167,77.8,28,40,70,3,2.8,+0.2,25,16,6,1,24,Matches
Moussa Sissoko,fr FRA,MF,Watford,Premier League,31,1989,35.8,945,1185,79.7,16885,4964,462,533,86.7,353,441,80,113,158,71.5,1,2.8,-1.8,33,90,23,11,112,Matches
Giacomo Bonaventura,it ITA,MF,Fiorentina,Serie A,31,1989,25.2,1011,1214,83.3,18897,3707,440,489,90,421,496,84.9,132,191,69.1,4,2.5,+1.5,31,76,20,0,90,Matches
Stevan Jovetić,me MNE,FW,Hertha BSC,Bundesliga,31,1989,11.3,264,377,70,4126,1338,160,196,81.6,72,107,67.3,24,43,55.8,1,2.3,-1.3,17,29,18,3,39,Matches
Ivan Perišić,hr CRO,DF,Inter,Serie A,32,1989,31.3,1122,1535,73.1,21392,7829,503,601,83.7,441,578,76.3,158,272,58.1,6,8,-2,60,64,61,29,128,Matches
Marco Reus,de GER,"MF,FW",Dortmund,Bundesliga,32,1989,27.8,1026,1268,80.9,15687,3899,602,683,88.1,303,374,81,82,123,66.7,13,7.8,+5.2,54,86,38,2,112,Matches
Daniel Parejo,es ESP,MF,Villarreal,La Liga,32,1989,30,1808,2151,84.1,37979,11995,633,690,91.7,814,895,90.9,331,498,66.5,10,6.6,+3.4,69,222,43,9,216,Matches
Jordi Alba,es ESP,DF,Barcelona,La Liga,32,1989,29.4,2336,2770,84.3,40855,15180,1085,1178,92.1,1002,1152,87,222,351,63.2,10,5.9,+4.1,58,231,64,18,254,Matches
Robert Lewandowski,pl POL,FW,Bayern Munich,Bundesliga,32,1988,32.7,589,769,76.6,8368,1671,373,454,82.2,160,205,78,31,53,58.5,3,5.7,-2.7,40,42,31,3,56,Matches
Henrikh Mkhitaryan,am ARM,"MF,FW",Roma,Serie A,32,1989,27.7,969,1172,82.7,17392,4126,449,512,87.7,382,448,85.3,121,153,79.1,6,4.6,+1.4,38,84,42,6,112,Matches
Marko Arnautović,at AUT,FW,Bologna,Serie A,32,1989,29.9,683,927,73.7,9972,1619,387,504,76.8,230,295,78,35,54,64.8,1,4.4,-3.4,44,27,22,2,52,Matches
Lars Stindl,de GER,"MF,FW",M'Gladbach,Bundesliga,32,1988,18.1,672,816,82.4,11075,2342,357,402,88.8,225,268,84,69,102,67.6,5,3.4,+1.6,27,55,25,3,59,Matches
Lucas Pérez,es ESP,"FW,MF",Cádiz,La Liga,32,1988,11.8,276,378,73,5069,1374,135,155,87.1,89,117,76.1,46,93,49.5,2,2.4,-0.4,25,17,17,6,23,Matches
Milan Badelj,hr CRO,MF,Genoa,Serie A,32,1989,31.6,1262,1601,78.8,24623,7800,480,563,85.3,590,698,84.5,170,280,60.7,0,2.3,-2.3,27,138,19,2,161,Matches
Thiago Galhardo,br BRA,"FW,MF",Celta Vigo,La Liga,32,1989,12.8,190,279,68.1,2536,830,127,151,84.1,43,79,54.4,10,20,50,2,2.3,-0.3,12,13,11,1,27,Matches
Karim Benzema,fr FRA,FW,Real Madrid,La Liga,33,1987,28.8,1058,1249,84.7,15601,3568,630,709,88.9,306,355,86.2,74,95,77.9,12,9.5,+2.5,61,66,84,4,137,Matches
Ángel Di María,ar ARG,FW,Paris S-G,Ligue 1,33,1988,18.3,895,1179,75.9,15850,4357,462,538,85.9,304,385,79,116,208,55.8,7,6.9,+0.1,55,59,48,10,106,Matches
Iago Aspas,es ESP,FW,Celta Vigo,La Liga,33,1987,34.3,976,1357,71.9,15428,2883,558,679,82.2,274,383,71.5,95,180,52.8,5,6.2,-1.2,60,42,42,10,76,Matches
Juan Cuadrado,co COL,"DF,MF",Juventus,Serie A,33,1988,27.6,1589,1868,85.1,32670,10204,600,655,91.6,711,793,89.7,266,385,69.1,3,5,-2,59,108,44,16,168,Matches
Óscar Trejo,ar ARG,MF,Rayo Vallecano,La Liga,33,1988,22.3,793,1032,76.8,13915,4235,399,459,86.9,278,335,83,97,192,50.5,9,4.3,+4.7,55,89,27,4,107,Matches
Dimitri Liénard,fr FRA,"DF,MF",Strasbourg,Ligue 1,33,1988,22.7,1053,1438,73.2,21802,7108,409,460,88.9,456,546,83.5,174,382,45.5,3,3.6,-0.6,42,83,41,26,109,Matches
Josip Iličić,si SVN,"FW,MF",Atalanta,Serie A,33,1988,9.3,370,496,74.6,7431,2307,167,211,79.1,137,176,77.8,62,95,65.3,3,3.5,-0.5,33,40,25,3,56,Matches
Francesco Caputo,it ITA,FW,Sampdoria,Serie A,33,1987,31,456,606,75.2,6648,836,263,335,78.5,146,184,79.3,27,44,61.4,3,3.4,-0.4,39,21,16,2,30,Matches
Max Kruse,de GER,"FW,MF",Union Berlin,Bundesliga,33,1988,14.1,350,481,72.8,7107,2028,146,179,81.6,141,177,79.7,61,110,55.5,4,3.4,+0.6,24,36,25,8,51,Matches
Dani Rodríguez,es ESP,"MF,FW",Mallorca,La Liga,33,1988,31.5,741,975,76,12195,3645,392,460,85.2,236,291,81.1,77,142,54.2,3,3,0,42,60,23,1,71,Matches
Damián Suárez,uy URU,DF,Getafe,La Liga,33,1988,30.1,1010,1466,68.9,20311,10206,427,493,86.6,423,562,75.3,146,346,42.2,3,2.9,+0.1,45,100,41,24,135,Matches
Ivan Rakitić,hr CRO,MF,Sevilla,La Liga,33,1988,24.2,1396,1652,84.5,28945,7045,530,575,92.2,602,668,90.1,242,347,69.7,6,2.8,+3.2,40,140,16,3,107,Matches
Daniel Caligiuri,it ITA,"DF,MF",Augsburg,Bundesliga,33,1988,22.3,641,928,69.1,11818,5475,311,376,82.7,228,310,73.5,91,199,45.7,2,2.5,-0.5,24,62,24,4,79,Matches
Jaume Costa,es ESP,DF,Mallorca,La Liga,33,1988,20.3,734,1001,73.3,12777,5490,350,404,86.6,308,403,76.4,67,157,42.7,4,2.4,+1.6,22,38,29,13,78,Matches
Dimitri Payet,fr FRA,"FW,MF",Marseille,Ligue 1,34,1987,28.8,1261,1680,75.1,24369,7196,577,659,87.6,456,571,79.9,207,395,52.4,10,10.5,-0.5,101,122,70,15,170,Matches
Lionel Messi,ar ARG,"FW,MF",Paris S-G,Ligue 1,34,1987,23.9,1413,1665,84.9,24179,7646,739,826,89.5,482,543,88.8,161,219,73.5,14,8,+6.0,63,193,90,5,243,Matches
José Luis Morales,es ESP,"FW,MF",Levante,La Liga,34,1987,30.2,518,780,66.4,9246,3024,251,313,80.2,182,259,70.3,67,139,48.2,7,6.9,+0.1,40,47,32,12,69,Matches
Antonio Candreva,it ITA,"MF,FW",Sampdoria,Serie A,34,1987,34.7,1293,1935,66.8,26052,9509,578,689,83.9,416,590,70.5,265,554,47.8,10,6.7,+3.3,76,128,72,25,180,Matches
Pedro,es ESP,FW,Lazio,Serie A,34,1987,22.6,787,937,84,12327,2992,438,492,89,260,303,85.8,62,92,67.4,4,3.3,+0.7,30,37,37,8,86,Matches
José Callejón,es ESP,FW,Fiorentina,Serie A,34,1987,14.4,486,619,78.5,8753,2262,236,273,86.4,188,228,82.5,57,101,56.4,2,3,-1,22,27,22,7,45,Matches
Dries Mertens,be BEL,"FW,MF",Napoli,Serie A,34,1987,15.4,414,553,74.9,6976,1663,217,264,82.2,143,178,80.3,43,80,53.8,1,2.4,-1.4,32,38,18,3,52,Matches
João Moutinho,pt POR,MF,Wolves,Premier League,34,1986,33,1671,1983,84.3,34677,7380,568,642,88.5,764,847,90.2,312,436,71.6,1,2.4,-1.4,38,148,20,3,138,Matches
Kévin Gameiro,fr FRA,FW,Strasbourg,Ligue 1,34,1987,26.5,639,800,79.9,8734,1258,413,481,85.9,177,215,82.3,21,43,48.8,3,2.3,+0.7,26,17,25,3,45,Matches
Arturo Vidal,cl CHI,MF,Inter,Serie A,34,1987,8.2,513,583,88,8735,2266,272,293,92.8,163,182,89.6,62,87,71.3,1,2.3,-1.3,14,43,16,2,51,Matches
Edin Džeko,ba BIH,FW,Inter,Serie A,35,1986,27.4,577,814,70.9,10233,2485,284,379,74.9,193,252,76.6,76,112,67.9,6,4.5,+1.5,38,47,39,8,83,Matches
David Silva,es ESP,MF,Real Sociedad,La Liga,35,1986,19.1,913,1043,87.5,15627,3568,444,492,90.2,352,391,90,90,113,79.6,4,4.4,-0.4,40,74,43,5,97,Matches
Jesús Navas,es ESP,DF,Sevilla,La Liga,35,1985,19.8,1102,1418,77.7,21171,7185,481,541,88.9,436,528,82.6,166,293,56.7,3,4.3,-1.3,36,57,54,21,107,Matches
Luka Modrić,hr CRO,MF,Real Madrid,La Liga,35,1985,22.6,1527,1734,88.1,28816,8248,698,741,94.2,555,613,90.5,234,297,78.8,8,4.2,+3.8,38,174,38,4,163,Matches
Raúl García,es ESP,FW,Athletic Club,La Liga,35,1986,20,373,594,62.8,6432,2190,181,252,71.8,138,218,63.3,37,84,44,2,2.7,-0.7,16,50,20,3,64,Matches
Burak Yılmaz,tr TUR,FW,Lille,Ligue 1,36,1985,24.6,409,567,72.1,6400,896,232,296,78.4,135,186,72.6,31,51,60.8,3,3.6,-0.6,25,17,18,7,22,Matches
Cristiano Ronaldo,pt POR,FW,Manchester Utd,Premier League,36,1985,27.3,718,888,80.9,9995,1448,443,514,86.2,217,265,81.9,28,41,68.3,3,3.1,-0.1,24,37,16,0,49,Matches
Salva Sevilla,es ESP,MF,Mallorca,La Liga,37,1984,16.7,798,988,80.8,15605,5234,342,386,88.6,304,345,88.1,140,228,61.4,3,2.8,+0.2,26,86,24,0,103,Matches
Franck Ribéry,fr FRA,"MF,FW",Salernitana,Serie A,38,1983,15.8,517,665,77.7,8939,2251,244,279,87.5,195,229,85.2,55,94,58.5,2,2.9,-0.9,33,45,23,2,61,Matches
Jorge Molina,es ESP,FW,Granada,La Liga,39,1982,21.8,344,532,64.7,5094,1358,203,284,71.5,110,169,65.1,21,40,52.5,5,3.1,+1.9,28,33,10,1,45,Matches